"","Gargett.Season","Gargett.Scenario","Gargett.Site","Gargett.Mean","Gargett.SE","Gargett.SD","Mirani.Season","Mirani.Scenario","Mirani.Site","Mirani.Mean","Mirani.SE","Mirani.SD","Sarichs.Season","Sarichs.Scenario","Sarichs.Site","Sarichs.Mean","Sarichs.SE","Sarichs.SD","Whiteford.Season","Whiteford.Scenario","Whiteford.Site","Whiteford.Mean","Whiteford.SE","Whiteford.SD"
"1","Jan-Mar","PD","Gargett",11.9703846153846,0.530577102843096,6.04950973781996,"Jan-Mar","PD","Mirani",7.82230769230769,0.32260580978771,3.67827216314154,"Jan-Mar","PD","Sarichs",3.88,0.281651975708308,3.21132661133233,"Jan-Mar","PD","Whiteford",1.91461538461538,0.139700000313567,1.59282507243871
"2","Jan-Mar","FE","Gargett",12.6593076923077,0.497153125939707,5.66841776707671,"Jan-Mar","FE","Mirani",5.08269230769231,0.294614264015269,3.35911943713879,"Jan-Mar","FE","Sarichs",3.08246153846154,0.254700920440909,2.90403730236855,"Jan-Mar","FE","Whiteford",1.58884615384615,0.125347157027118,1.42917748048363
"3","Apr-Jun","PD","Gargett",14.2696923076923,0.470517216755884,5.36472167631103,"Apr-Jun","PD","Mirani",14.3181538461538,0.476445730491879,5.43231713300247,"Apr-Jun","PD","Sarichs",10.4557692307692,0.823550126318458,9.38991615365597,"Apr-Jun","PD","Whiteford",5.91376923076923,0.384255559113225,4.38118745458628
"4","Apr-Jun","FE","Gargett",14.585,0.457124966440635,5.2120265293488,"Apr-Jun","FE","Mirani",9.66115384615385,0.38708074647132,4.41339954655629,"Apr-Jun","FE","Sarichs",8.63376923076923,0.787430687263142,8.9780911858636,"Apr-Jun","FE","Whiteford",4.83892307692308,0.371348430830064,4.23402354981565
"5","Jul-Sep","PD","Gargett",9.64453846153846,0.263728215016535,3.00696429667114,"Jul-Sep","PD","Mirani",9.35169230769231,0.396411875373241,4.51979078518031,"Jul-Sep","PD","Sarichs",3.92930769230769,0.429021243126497,4.89159478258314,"Jul-Sep","PD","Whiteford",3.27530769230769,0.245452381649198,2.7985877358847
"6","Jul-Sep","FE","Gargett",7.89023076923077,0.250765588996461,2.85916762034276,"Jul-Sep","FE","Mirani",6.31169230769231,0.306932038971085,3.49956368010402,"Jul-Sep","FE","Sarichs",2.807,0.368392981460702,4.20032624240495,"Jul-Sep","FE","Whiteford",2.56146153846154,0.220732345105496,2.51673595413788
"7","Oct-Dec","PD","Gargett",5.78646153846154,0.322940977446336,3.68209366241807,"Oct-Dec","PD","Mirani",3.37176923076923,0.271564241631975,3.09630874644462,"Oct-Dec","PD","Sarichs",0.918384615384615,0.160494606854597,1.82992006596559,"Oct-Dec","PD","Whiteford",0.864846153846154,0.109504235145463,1.24854037857134
"8","Oct-Dec","FE","Gargett",9.53553846153846,0.245368160984726,2.79762747256554,"Oct-Dec","FE","Mirani",7.55784615384615,0.286528790142258,3.26693085103591,"Oct-Dec","FE","Sarichs",0.579692307692308,0.110584177564007,1.26085361663281,"Oct-Dec","FE","Whiteford",0.827076923076923,0.0875265661113223,0.997956397234447
