S4,Scen,S4Avg.GAR,S4Avg.MIR,S4Avg.SAR,S4Avg.WHI
1889,PD,8.26,4.21,1.94,1.38
1890,PD,10.8,12.09,5.46,4.35
1891,PD,8.33,5.6,1.3,1.84
1892,PD,4.43,1.35,0,0
1893,PD,9.31,8.43,2.72,3.25
1894,PD,8.04,7.99,4.02,3.09
1895,PD,0.51,0.01,0,0
1896,PD,1.48,0.4,0,1.05
1897,PD,0.72,0,0,0
1898,PD,2.83,0.81,0.05,0.98
1899,PD,4.9,1.36,0,0
1900,PD,0.9,0.17,0,0
1901,PD,4.8,1.24,0,0
1902,PD,1.13,0.82,0,0
1903,PD,6.1,3.53,0.69,0.74
1904,PD,1.19,0.22,0,0
1905,PD,2.75,1.58,0.06,0.42
1906,PD,8.12,5.22,1.33,1.2
1907,PD,4.84,2.36,0.13,0.03
1908,PD,2.52,0.72,0,0.27
1909,PD,1.38,0.27,0.11,0.07
1910,PD,5.9,1.98,0.05,1.17
1911,PD,1.68,0.48,0,0.53
1912,PD,7.62,3.29,0.1,0.95
1913,PD,5.96,2.25,0.15,1.42
1914,PD,7.65,3.79,0.13,0.88
1915,PD,1.61,0.75,0,0
1916,PD,8.96,8.14,1.15,0.72
1917,PD,7.51,6.67,1.87,1.65
1918,PD,4.98,1.39,0,0.98
1919,PD,7.96,1.98,0,1.25
1920,PD,9.13,9.97,0,0.29
1921,PD,13.17,12.92,5.59,4.74
1922,PD,4.49,1.42,0.05,0.11
1923,PD,1.75,0.31,0,0.04
1924,PD,10.73,8.98,0.1,0.76
1925,PD,7.5,2.05,0,0.21
1926,PD,7.4,3.4,0,0.5
1927,PD,6.86,3.98,0.16,0.14
1928,PD,5.28,2.65,0.81,0.53
1929,PD,4.63,1.52,0.41,1.06
1930,PD,8.67,5.79,0.38,0.88
1931,PD,3.87,1.65,0.54,0.23
1932,PD,3.68,1.92,0,0.04
1933,PD,14.24,8.12,4.4,2.07
1934,PD,7.59,5.69,0.62,0.69
1935,PD,2.13,0.4,0,0
1936,PD,7.12,3.61,0.59,1.23
1937,PD,3.41,1.12,0,0
1938,PD,5.18,1.8,0,0.29
1939,PD,5.78,2.03,0,0.07
1940,PD,9.22,7.77,2.34,3
1941,PD,7.09,4.3,0.63,1.1
1942,PD,8.55,7.82,1.25,1.32
1943,PD,6.44,1.99,0,0.34
1944,PD,4.74,1.67,0,0.16
1945,PD,6.65,2.91,0.35,0.66
1946,PD,3.06,1.64,0,0.74
1947,PD,4.82,1.97,0.01,0.11
1948,PD,3.04,0.88,0,0
1949,PD,3.88,1.01,0,0
1950,PD,21.13,16.32,15.06,10.21
1951,PD,2.15,1.25,0,0.67
1952,PD,2.56,0.71,0,0.08
1953,PD,1.2,0.3,0,0
1954,PD,7.72,4.97,1.22,1.46
1955,PD,7.52,3.37,0.71,1.57
1956,PD,7.25,7.47,4.19,2.65
1957,PD,7.09,2.54,0.08,1.01
1958,PD,6.93,3.35,0.21,1.36
1959,PD,3.77,1.11,0,0
1960,PD,2.34,0.63,0,0.03
1961,PD,6.01,4.78,0.47,0.52
1962,PD,3.73,1.09,0,0
1963,PD,8.47,5.56,0.92,2.07
1964,PD,6.16,2.77,0,0.42
1965,PD,2.28,0.95,0.18,0
1966,PD,6.54,1.98,0,0
1967,PD,7.88,2.56,0.04,1.43
1968,PD,4.34,1.05,0,0.45
1969,PD,2.35,0.73,0,0.85
1970,PD,6.73,2.5,0.14,0.75
1971,PD,2.17,0.76,0,0.73
1972,PD,1.48,0.38,0,0.77
1973,PD,5.69,2.06,0.73,0.23
1974,PD,3.56,3.73,3.25,0.81
1975,PD,7.69,7.24,0.93,0.98
1976,PD,4.62,2.41,2.58,1.79
1977,PD,4.66,2.9,1.34,1.27
1978,PD,7.53,2.79,0.33,0.32
1979,PD,6.06,3.38,1.53,1.73
1980,PD,5.49,1.56,0.2,0
1981,PD,4.49,2.73,1.08,0.05
1982,PD,1.23,1.04,0,0
1983,PD,5.52,2.93,0.62,0.13
1984,PD,7.19,2,0.07,0
1985,PD,7.78,6.02,2.66,0.9
1986,PD,6.12,1.98,0,0.47
1987,PD,7.58,2.87,0,0
1988,PD,8.23,8.67,3.01,1.02
1989,PD,8.04,6.14,3.54,2.34
1990,PD,2.96,1.81,0.76,1.67
1991,PD,1.36,0.85,0.17,0.67
1992,PD,0,0,0,0
1993,PD,6.47,2.78,0.27,0.05
1994,PD,0.41,0,0,0
1995,PD,6.36,2.58,0,0
1996,PD,2.2,0.82,0,0.15
1997,PD,5.25,3.25,0.07,0.15
1998,PD,28.14,15.14,5.83,2.61
1999,PD,8.21,7.03,1.17,0.37
2000,PD,5.09,4.24,3.63,2.09
2001,PD,4.22,2.16,1.23,0.49
2002,PD,2.31,1.18,0.34,0.27
2003,PD,3.73,1.72,0.61,0.63
2004,PD,1.44,0.99,0.36,0
2005,PD,5.63,1.84,0,0.08
2006,PD,7.84,3.28,0,0
2007,PD,6.95,4.67,0.66,0.2
2008,PD,6.37,3.72,0.53,0.38
2009,PD,7.51,4.82,0.14,0
2010,PD,12.97,7.56,5.16,2.59
2011,PD,8.02,8.1,2.74,3.12
2012,PD,7.37,8.05,3.35,2.9
2013,PD,7.01,2.24,0,0.02
2014,PD,6.29,2.78,0.61,0.45
2015,PD,6.18,2.72,1.35,0.6
2016,PD,8.03,7.49,0.71,0.87
2017,PD,6.83,5.6,3.44,1.62
2018,PD,4.54,2.94,1.68,1.85
1889,FE,9.64,4.01,1.07,1
1890,FE,11.57,7.43,2.68,3.43
1891,FE,8.56,6.04,0.38,1.46
1892,FE,10.35,8.86,0,0
1893,FE,9.52,6.71,1.05,2.49
1894,FE,8.15,4.14,2.3,2.77
1895,FE,11.45,11.85,0.88,1.49
1896,FE,11.4,11.85,0.48,1.24
1897,FE,10.95,10.87,0.84,1.37
1898,FE,11.43,11.67,0.49,1.56
1899,FE,11.1,11.66,0.28,0.68
1900,FE,11.67,11.41,0.83,1.85
1901,FE,10.37,10.04,0,0.21
1902,FE,0.67,0.43,0,0
1903,FE,7.3,3.86,0.12,0.69
1904,FE,6.16,2.82,0,0
1905,FE,6.1,4.01,0.01,0.42
1906,FE,8.85,3.26,0.83,1.18
1907,FE,9.36,8.55,0.11,0
1908,FE,11.11,9.46,0,0.24
1909,FE,9.92,7.52,0.06,0.07
1910,FE,9.46,10.42,0.06,0.56
1911,FE,11.24,11.83,0.53,1.31
1912,FE,8.4,2.74,0,0.89
1913,FE,9.43,8.85,0.07,1.29
1914,FE,9.45,7.89,0.01,0.64
1915,FE,7.31,8.06,0.45,1.04
1916,FE,8.36,3.55,0.79,0.57
1917,FE,8.08,3.44,0.63,0.89
1918,FE,10.02,10.08,0.12,0.82
