S4,Scen,S4Avg.GAR,S4Avg.MIR,S4Avg.SAR,S4Avg.WHI
1919,FE,11.16,11.12,0,0.53
1920,FE,9.93,6.85,0,0.18
1921,FE,14.15,6.65,2.67,2.7
1922,FE,10.18,9.94,0,0.11
1923,FE,11.11,11.52,0.84,1.83
1924,FE,11.38,5.12,0,0.13
1925,FE,10.63,9.29,0,0.21
1926,FE,10.33,9.34,0,0.01
1927,FE,8.07,2.57,0.08,0.11
1928,FE,10.82,8.13,0.16,0.55
1929,FE,11.21,11.85,0.24,0.77
1930,FE,9.44,7.17,0,0.52
1931,FE,9.11,8.67,0.89,1.59
1932,FE,9.34,9.67,0.25,0.76
1933,FE,14.5,6.51,2.77,1.56
1934,FE,7.61,4.47,0.49,0.68
1935,FE,10.95,10.7,0.41,0.89
1936,FE,9.39,7.79,0.12,1.08
1937,FE,9.86,10.5,0.15,0.79
1938,FE,7.8,6.4,0,0.21
1939,FE,10.05,9.88,0,0
1940,FE,10.26,8.33,0.43,1.9
1941,FE,8.3,4.24,0.13,0.98
1942,FE,9.44,3.8,0.18,0.75
1943,FE,10.17,9.83,0,0.34
1944,FE,10.02,9.15,0.1,0.21
1945,FE,8.35,5.02,0,0.1
1946,FE,11.36,11.56,0.62,1.38
1947,FE,9.92,11.47,0,0.04
1948,FE,11.45,11.83,0.36,1.38
1949,FE,10.82,11.36,0,0.03
1950,FE,21.91,14.07,11.68,8.23
1951,FE,10.96,11.77,0.81,1.65
1952,FE,10.76,11.68,0.13,0.57
1953,FE,10.99,9.96,0.17,0.46
1954,FE,8.51,4.87,0.31,1.53
1955,FE,9.43,9.13,0.12,1.39
1956,FE,7.89,5.32,2.43,2.37
1957,FE,10.47,10.04,0,0.89
1958,FE,9.64,9.13,0,1.07
1959,FE,9.81,11.55,0.02,0.4
1960,FE,10.44,11.42,0.21,0.58
1961,FE,10.34,7.56,0.24,1.01
1962,FE,9.84,10.9,0.02,0.31
1963,FE,10.23,9.68,0.14,1.78
1964,FE,9.43,8.21,0,0.29
1965,FE,6.17,4.23,0.21,0
1966,FE,6.64,2.08,0,0
1967,FE,7.9,2.1,0,0.18
1968,FE,11.39,10.68,0,0.34
1969,FE,9.54,6.99,0,0.2
1970,FE,9,8.42,0,0.73
1971,FE,10.26,9.72,0,0.39
1972,FE,11.13,11.94,0.58,1.42
1973,FE,6.4,2.88,0.36,0
1974,FE,8.24,4.5,2.52,0.54
1975,FE,8.29,3.51,0.72,0.32
1976,FE,7.64,5.05,1.06,1.28
1977,FE,8.56,5.99,0.69,0.84
1978,FE,8.47,6.89,0.12,0
1979,FE,10.26,9.83,0.85,1.59
1980,FE,9.27,7.29,0.2,0
1981,FE,7.1,6.14,0.88,0
1982,FE,11.44,11.89,0.78,1.73
1983,FE,8.52,9.14,0.22,0
1984,FE,8.65,8.56,0.01,0
1985,FE,8.27,2.56,1.59,0.65
1986,FE,10.42,11.56,0,0
1987,FE,8.19,2.76,0,0
1988,FE,8.77,5.31,1.21,0.43
1989,FE,9.35,5.4,1.55,1.69
1990,FE,9.61,8.48,0.41,1.28
1991,FE,9.6,7.2,0.57,1.1
1992,FE,9.38,11.54,1.11,2.07
1993,FE,6.48,2.63,0.02,0.05
1994,FE,7.59,4.47,0,0
1995,FE,6.52,2.11,0,0
1996,FE,4.85,3.33,0,0.15
1997,FE,9.98,8.45,0,0.34
1998,FE,28.71,6.6,4.72,1.64
1999,FE,8.62,3.03,0.4,0.23
2000,FE,6.21,2.92,2.11,1.63
2001,FE,9.06,10.91,0.58,0.48
2002,FE,11.39,11.95,0.1,0.23
2003,FE,10.43,11.83,0.1,0.23
2004,FE,1.04,2.41,0.36,0
2005,FE,6.16,3.32,0,0
2006,FE,7.98,2.13,0,0
2007,FE,7.94,5.28,0.18,0.07
2008,FE,10.4,10.37,0.2,0.51
2009,FE,9.11,11.86,0.14,0
2010,FE,13.69,2.64,4.08,1.64
2011,FE,8.48,7.9,1.08,3.11
2012,FE,9.12,7.86,1.57,2.18
2013,FE,9.09,8.89,0,0.13
2014,FE,9.1,8.58,0.21,0.09
2015,FE,9.43,9.88,0.43,0.08
2016,FE,8.74,5.18,0,0.21
2017,FE,7.59,3.2,0.51,0.96
2018,FE,8.31,2.82,0.69,1.77
