S3,S3Avg.GAR.PD,S3Avg.GAR.FE,S3Avg.MIR.PD,S3Avg.MIR.FE,S3Avg.SAR.PD,S3Avg.SAR.FE,S3Avg.WHI.PD,S3Avg.WHI.FE
1889,9.74,7.98,8.84,4.65,2.93,1.24,2.78,1.89
1890,9.80,8.26,12.05,8.18,7.81,6.53,6.89,5.42
1891,12.15,10.66,16.84,13.31,17.97,13.33,11.42,9.83
1892,7.53,6.56,3.53,4.56,0.00,0.00,0.00,0.00
1893,9.61,6.31,9.23,4.22,3.39,2.35,3.19,2.59
1894,15.92,13.11,17.17,11.25,21.26,18.72,12.44,11.31
1895,7.20,5.74,4.24,4.07,1.17,0.49,2.31,2.07
1896,8.12,6.55,7.43,5.92,5.02,3.74,4.82,4.25
1897,5.01,7.78,1.44,6.50,0.00,0.00,0.08,0.00
1898,9.00,6.54,9.43,4.97,6.09,4.92,5.17,4.68
1899,8.70,5.84,8.06,3.76,1.67,0.49,2.02,1.38
1900,6.91,6.91,3.10,6.22,0.00,0.00,0.00,0.00
1901,7.57,4.24,3.52,2.43,0.14,0.00,0.88,0.37
1902,0.24,0.00,0.00,2.02,0.00,0.57,0.00,0.59
1903,9.51,5.87,7.80,3.47,2.22,0.94,2.69,2.66
1904,6.56,6.66,2.31,5.74,0.08,0.00,1.09,0.73
1905,6.49,5.91,2.50,3.67,0.26,0.00,1.08,0.94
1906,9.82,7.48,12.83,8.05,7.19,5.66,6.06,4.79
1907,9.36,7.63,7.67,5.52,1.65,0.57,2.73,2.30
1908,8.96,5.63,8.78,3.31,4.93,3.47,3.85,3.24
1909,6.56,5.92,2.13,4.07,0.08,0.00,0.76,0.50
1910,9.27,7.22,10.37,5.14,6.59,5.41,5.82,4.93
1911,8.72,5.95,7.53,4.06,3.46,2.15,3.75,3.44
1912,14.78,12.39,14.31,9.21,5.51,2.95,4.42,3.32
1913,11.48,10.16,13.92,10.30,7.10,5.43,5.57,4.64
1914,11.38,10.19,13.71,10.62,5.41,3.27,4.55,3.56
1915,0.00,11.14,0.00,9.44,0.00,0.00,0.00,0.00
1916,8.51,5.47,7.11,4.95,1.08,0.52,1.54,1.25
1917,10.27,7.36,11.82,5.58,6.10,4.44,4.86,3.82
1918,8.82,5.97,8.04,6.11,4.12,2.75,3.88,3.31
1919,11.11,9.38,11.24,6.86,4.30,1.68,4.31,2.62
1920,13.19,9.81,11.77,8.20,3.75,1.53,3.39,2.14
1921,13.97,11.55,10.81,5.01,6.33,4.42,5.23,3.89
1922,8.88,8.39,7.65,2.91,2.06,1.27,1.79,1.63
1923,7.82,7.03,4.03,6.05,0.56,0.00,2.02,1.36
1924,11.36,9.72,13.82,8.83,3.41,1.50,3.12,2.30
1925,10.21,7.20,11.08,5.26,1.60,0.65,2.22,1.54
1926,5.94,8.25,2.61,8.61,0.00,0.00,0.64,0.00
1927,9.84,8.31,7.99,4.01,0.57,0.00,1.36,0.46
1928,9.32,6.74,10.68,6.51,4.34,2.24,4.01,3.12
1929,9.64,6.73,9.96,5.79,4.28,2.65,3.96,3.28
1930,14.12,12.23,15.75,10.17,7.85,5.39,6.94,5.40
1931,8.05,8.38,4.49,6.43,0.00,0.00,1.09,0.13
1932,8.83,6.98,5.90,2.96,0.02,0.00,1.06,0.59
1933,10.59,8.77,10.47,1.70,5.18,2.68,3.89,2.59
1934,10.64,9.65,13.19,8.15,0.34,0.08,0.70,0.34
1935,6.75,5.65,2.04,2.71,0.00,0.00,0.00,0.00
1936,15.46,11.61,15.90,12.61,9.40,7.33,7.94,6.01
1937,9.56,6.89,9.52,6.45,0.65,0.00,2.09,1.29
1938,9.93,8.14,9.26,3.45,2.58,1.02,3.10,2.44
1939,10.20,8.71,10.84,4.28,1.75,0.38,2.86,1.80
1940,9.54,7.53,12.24,8.48,8.92,7.61,7.11,6.06
1941,12.66,10.65,15.66,12.20,9.85,7.51,6.81,5.13
1942,19.32,17.55,15.50,12.09,7.56,5.44,5.37,3.70
1943,9.64,8.19,12.46,3.99,8.00,7.41,8.18,7.67
1944,10.06,8.85,12.16,7.02,1.56,0.45,2.33,1.46
1945,11.04,10.12,11.71,6.54,0.56,0.00,1.76,0.36
1946,7.96,7.42,5.24,7.55,1.62,0.76,3.10,2.96
1947,9.43,8.33,8.66,6.25,2.02,0.69,2.79,2.15
1948,8.58,7.28,5.93,6.72,0.00,0.00,0.54,0.20
1949,9.14,7.28,7.64,3.31,1.21,0.17,2.53,2.08
1950,27.41,25.80,26.62,25.53,24.48,20.32,11.05,10.65
1951,6.56,5.80,5.31,5.67,2.47,1.40,2.34,2.00
1952,9.13,7.51,7.27,5.90,1.64,0.57,2.64,2.36
1953,7.51,3.93,3.34,2.02,0.34,0.00,1.61,1.24
1954,9.79,7.79,11.80,7.35,7.05,5.69,5.73,4.70
1955,12.18,10.64,16.46,13.06,12.78,9.83,9.89,8.27
1956,11.10,9.68,15.41,13.54,14.87,12.77,9.38,8.33
1957,8.65,6.37,6.65,3.63,1.02,0.59,1.58,1.21
1958,10.89,9.37,14.01,9.85,8.47,6.60,7.58,6.01
1959,9.27,6.64,6.88,4.08,0.43,0.00,2.09,1.00
1960,7.44,6.81,5.00,6.45,1.78,0.93,2.78,2.55
1961,8.89,7.43,5.88,6.03,0.30,0.00,1.72,0.89
1962,7.78,6.16,4.10,4.01,0.36,0.00,1.72,0.98
1963,10.49,8.06,13.49,9.21,9.27,7.56,7.41,6.23
1964,9.77,8.18,9.07,3.27,2.13,0.68,2.61,2.08
1965,7.14,5.50,2.51,2.79,0.00,0.00,0.02,0.00
1966,6.14,3.38,3.12,2.68,0.00,0.00,0.07,0.00
1967,13.79,11.06,13.18,8.95,1.37,0.22,2.86,0.58
1968,8.45,6.18,7.27,6.07,1.96,0.72,3.08,2.40
1969,9.59,8.04,8.05,4.18,0.22,0.00,1.90,0.52
1970,8.86,6.38,5.19,4.07,0.24,0.00,2.22,1.25
1971,8.83,5.78,8.65,4.03,1.91,0.36,2.76,1.47
1972,10.00,8.45,8.90,6.46,2.03,0.74,3.39,2.77
1973,10.27,8.51,8.92,5.47,0.23,0.00,2.52,1.11
1974,10.54,8.26,14.02,9.73,9.15,8.23,4.82,4.01
1975,10.15,8.21,11.79,5.08,2.26,0.94,1.71,1.38
1976,9.65,8.48,11.89,8.29,10.24,9.05,4.92,3.95
1977,10.40,8.97,15.22,10.06,10.40,7.68,6.10,4.63
1978,8.56,4.12,10.17,3.06,1.56,1.27,0.11,0.11
1979,9.43,7.51,11.71,7.32,8.02,6.63,4.01,3.72
1980,10.08,8.15,11.87,5.12,1.90,1.32,1.21,0.79
1981,9.48,6.23,11.74,7.39,3.80,1.90,2.68,1.95
1982,7.60,4.78,3.37,3.54,0.00,0.00,0.00,0.00
1983,10.21,8.17,10.49,3.59,0.71,0.66,0.11,0.00
1984,7.50,5.18,5.31,2.19,0.28,0.09,0.02,0.05
1985,10.42,8.95,12.72,7.93,3.48,1.58,2.72,1.62
1986,9.80,7.27,9.21,2.93,0.00,0.00,1.16,0.39
1987,9.98,8.56,9.55,4.31,0.52,0.00,0.79,0.38
1988,11.34,9.63,12.18,5.04,6.12,3.65,4.02,2.73
1989,12.47,11.48,17.76,14.91,24.36,22.76,9.41,8.17
1990,11.04,9.61,15.84,12.65,16.05,12.62,10.48,9.55
1991,8.19,5.84,8.71,5.94,5.44,4.66,3.75,3.27
1992,1.90,10.88,0.78,9.64,0.00,0.00,0.00,0.00
1993,8.74,4.60,5.22,3.43,0.03,0.03,0.23,0.23
1994,8.28,2.49,5.76,2.02,0.06,0.00,0.85,0.72
1995,8.21,3.20,5.12,2.02,0.01,0.01,0.61,0.05
1996,7.47,2.51,5.35,2.02,0.24,0.00,1.47,0.08
1997,9.90,8.14,10.86,4.39,0.99,0.39,1.96,2.28
1998,14.43,12.08,11.41,4.98,1.53,1.24,2.51,1.77
1999,10.22,8.75,12.18,6.71,4.18,3.00,2.76,1.96
2000,11.67,9.94,15.24,11.42,12.95,9.66,9.42,7.42
2001,8.88,6.99,8.35,3.13,2.87,1.70,3.15,2.78
2002,8.82,5.26,5.83,3.95,1.54,0.27,1.08,0.23
2003,7.43,5.63,3.58,2.88,0.18,0.10,0.00,0.00
2004,4.07,5.22,1.20,4.65,0.00,0.00,0.05,0.00
2005,9.20,6.32,8.73,4.81,0.00,0.00,0.00,0.00
2006,9.99,8.26,10.38,3.25,0.37,0.16,0.63,0.24
2007,12.52,10.27,14.05,10.29,4.80,3.11,2.62,1.93
2008,8.75,6.75,9.79,4.81,3.03,1.80,2.77,2.53
2009,8.97,5.43,10.53,3.15,3.73,2.38,2.27,1.85
2010,10.10,7.51,13.03,9.46,9.23,7.20,5.49,4.51
2011,10.98,9.51,14.79,11.84,9.64,8.89,7.77,7.36
2012,14.85,13.71,17.50,14.26,13.70,11.13,9.42,8.31
2013,11.13,9.25,12.76,9.13,5.83,4.55,4.86,3.88
2014,10.23,7.90,10.98,3.59,1.91,0.58,2.51,1.95
2015,9.87,8.81,9.33,5.04,0.48,0.01,1.09,0.48
2016,10.69,8.95,10.94,6.30,3.60,1.82,2.26,1.53
2017,9.99,7.94,13.70,5.57,6.28,2.06,4.09,1.88
2018,8.96,5.83,5.79,2.00,0.49,0.00,2.06,1.21
