S1,S1Avg.GAR.PD,S1Avg.GAR.FE,S1Avg.MIR.PD,S1Avg.MIR.FE,S1Avg.SAR.PD,S1Avg.SAR.FE,S1Avg.WHI.PD,S1Avg.WHI.FE
1933,14.92,15.29,13.03,5.34,6.87,5.40,3.07,2.89
1934,6.40,6.60,3.10,1.80,0.00,0.00,0.06,0.06
1935,5.24,5.37,3.04,0.80,0.22,0.05,0.13,0.10
1936,9.49,9.54,5.58,1.13,3.35,1.95,2.05,1.49
1937,5.71,6.85,4.39,4.17,1.30,0.28,0.88,0.44
1938,13.78,14.74,7.78,3.66,2.55,2.39,1.08,0.94
1939,14.38,14.58,6.65,5.77,0.72,0.32,0.58,0.43
1940,21.92,22.15,9.70,7.82,5.91,5.06,4.14,3.43
1941,6.83,8.29,5.59,3.68,4.17,2.99,3.02,2.00
1942,14.16,14.34,12.84,9.82,9.24,8.83,2.35,1.69
1943,10.90,12.13,7.80,2.77,3.31,2.55,1.73,1.23
1944,5.03,7.22,2.33,2.91,0.93,0.62,0.38,0.29
1945,21.26,21.50,15.26,14.43,4.87,5.45,0.96,1.12
1946,12.00,13.96,7.20,4.86,4.51,2.64,1.40,1.32
1947,5.76,7.52,4.44,3.94,2.86,1.95,1.25,0.94
1948,11.82,11.89,7.08,9.24,0.58,0.87,0.40,0.45
1949,14.24,14.30,4.10,2.34,0.46,0.49,0.42,0.57
1950,22.91,23.52,20.83,19.53,15.68,14.60,5.75,5.63
1951,10.19,11.34,9.37,3.70,4.99,3.70,2.92,2.36
1952,21.85,22.86,10.23,7.65,6.60,4.08,5.09,4.51
1953,14.24,15.08,6.18,4.18,2.03,2.38,0.72,0.85
1954,7.55,9.56,3.63,4.37,0.19,0.75,0.17,0.16
1955,22.74,23.52,5.62,4.44,0.58,0.51,0.75,0.67
1956,18.54,18.90,12.63,8.54,7.26,6.09,4.58,3.28
1957,12.56,12.95,14.44,5.62,10.12,9.13,2.56,1.83
1958,15.80,15.93,8.65,6.60,4.52,4.14,3.04,2.99
1959,18.42,18.72,9.38,3.02,5.04,3.91,2.74,2.65
1960,13.26,13.34,9.58,5.39,3.16,1.74,2.50,1.90
1961,11.07,11.27,6.66,1.66,2.10,1.50,0.88,0.59
1962,22.13,22.13,11.40,10.55,8.75,7.74,3.87,4.04
1963,6.35,6.85,5.30,2.60,0.32,0.00,0.16,0.08
1964,6.83,7.13,5.20,2.06,0.00,0.00,0.08,0.08
1965,8.72,8.84,8.94,2.27,4.88,4.11,3.06,2.64
1966,7.36,6.97,6.46,2.90,0.43,0.00,0.28,0.00
1967,16.75,16.86,9.41,3.92,3.99,2.97,1.91,1.42
1968,3.43,6.25,1.82,3.03,0.55,0.01,0.76,0.00
1969,13.81,14.53,10.01,9.56,10.32,9.03,1.59,2.90
1970,7.05,7.09,5.13,1.01,3.63,2.19,1.40,1.21
1971,18.69,19.50,12.33,11.94,10.66,9.45,3.27,2.99
1972,5.54,7.78,4.65,4.18,1.45,0.60,0.96,0.40
1973,18.82,18.82,9.51,10.67,0.11,0.38,0.35,0.42
1974,20.91,21.56,11.38,9.69,4.77,3.64,3.97,2.86
1975,19.59,19.59,15.11,11.28,1.33,1.21,0.65,0.74
1976,12.13,12.35,10.20,6.12,4.50,2.16,2.27,2.14
1977,7.39,8.50,7.15,6.80,6.12,4.53,3.94,3.11
1978,6.06,6.06,4.26,3.36,1.11,0.19,0.26,0.11
1979,10.71,11.25,9.57,7.16,9.21,5.96,4.70,4.67
1980,23.73,23.95,7.79,3.42,4.38,2.69,1.93,1.17
1981,4.78,6.75,2.27,6.85,1.13,0.94,0.61,0.55
1982,2.83,4.91,1.40,1.77,0.22,0.14,0.04,0.01
1983,7.81,7.92,5.76,2.43,1.94,0.71,0.55,0.03
1984,5.14,8.09,3.02,3.03,1.22,0.47,0.64,0.24
1985,8.90,9.14,8.17,2.41,3.59,1.68,2.12,0.82
1986,3.93,7.87,1.06,5.17,0.00,0.00,0.14,0.14
1987,6.47,9.51,3.52,5.73,1.60,1.32,0.87,0.85
1988,10.47,10.78,7.24,1.41,4.27,3.65,1.22,0.70
1989,4.16,5.45,1.84,2.35,0.02,0.00,0.68,0.28
1990,12.90,13.30,12.68,8.55,9.73,9.47,3.04,2.88
1991,0.22,5.22,0.91,6.07,0.54,0.43,0.37,0.37
1992,5.79,5.64,5.65,2.59,1.49,1.27,0.62,0.53
1993,9.95,9.91,4.61,1.55,1.53,0.91,0.81,0.88
1994,5.19,5.02,4.04,1.47,1.76,0.33,1.09,0.19
1995,6.18,6.29,5.54,2.34,1.24,0.34,0.94,0.42
1996,7.22,7.37,3.79,1.05,0.43,0.46,0.42,0.54
1997,10.44,10.65,8.64,4.69,3.85,2.42,3.06,1.99
1998,33.01,33.00,10.62,11.35,3.29,2.93,2.54,2.60
1999,14.76,14.80,14.30,9.28,2.40,2.21,0.99,1.02
2000,15.32,15.77,13.01,11.55,8.87,8.19,1.49,1.35
2001,6.23,6.52,6.89,3.42,1.72,1.05,0.52,0.32
2002,5.70,7.36,2.70,5.23,0.83,0.30,0.67,0.12
2003,7.61,7.45,7.09,3.07,1.43,0.95,0.73,0.54
2004,5.60,5.40,6.34,3.02,1.74,0.54,1.70,0.19
2005,6.52,6.53,3.67,1.71,0.02,0.02,0.02,0.01
2006,16.95,16.97,11.63,3.79,5.87,5.24,1.40,1.46
2007,17.12,17.12,13.19,9.98,9.53,9.18,2.82,3.27
2008,19.93,19.89,7.86,6.05,6.40,5.57,2.25,2.02
2009,13.51,13.59,6.54,6.17,1.42,1.10,0.39,0.39
2010,19.92,19.93,12.88,12.87,2.37,2.25,0.86,0.86
2011,11.17,11.32,7.99,3.02,3.58,2.78,1.17,1.23
2012,7.91,7.87,8.00,2.06,8.91,8.72,1.60,1.44
2013,16.34,16.97,8.41,3.45,2.59,2.25,1.59,1.19
2014,7.83,7.94,8.06,2.15,5.16,3.73,1.98,1.27
2015,6.05,6.42,3.34,2.47,1.55,0.89,0.86,0.64
2016,13.91,14.02,10.24,9.51,4.74,3.38,2.08,2.11
2017,8.67,8.95,6.21,1.83,2.29,1.65,0.33,0.19
2018,13.26,13.57,8.90,4.92,8.75,6.25,6.66,5.92
