S1,S1Avg.GAR.PD,S1Avg.GAR.FE,S1Avg.MIR.PD,S1Avg.MIR.FE,S1Avg.SAR.PD,S1Avg.SAR.FE,S1Avg.WHI.PD,S1Avg.WHI.FE
1889,19.42,19.49,6.97,2.88,2.50,2.40,0.86,0.79
1890,27.88,28.16,9.44,6.30,6.86,6.83,2.30,2.36
1891,7.93,9.38,8.57,6.15,4.53,3.23,2.86,2.16
1892,8.98,12.51,5.14,6.38,3.28,3.08,3.06,2.10
1893,21.70,21.91,8.74,4.35,5.51,3.89,2.15,3.44
1894,13.86,14.09,11.00,7.43,13.91,12.95,6.14,6.07
1895,17.06,17.71,10.37,4.30,5.31,5.21,1.79,1.73
1896,9.95,10.59,10.53,3.53,5.84,2.74,3.42,3.13
1897,16.82,16.94,8.78,2.18,3.26,3.79,1.46,1.44
1898,13.25,14.99,6.06,2.43,2.63,2.54,1.81,1.53
1899,11.48,12.45,11.30,7.13,5.34,3.73,3.32,2.75
1900,17.08,17.81,11.11,10.96,6.57,5.21,3.86,3.11
1901,5.16,6.73,4.19,2.91,1.40,0.70,1.51,1.51
1902,6.76,6.27,5.19,1.76,1.51,0.76,0.75,0.74
1903,16.24,16.71,13.18,6.27,7.94,6.05,5.55,3.86
1904,17.14,17.32,10.47,4.84,11.19,8.25,7.44,6.09
1905,14.40,14.49,8.03,3.27,3.34,4.12,0.70,1.02
1906,8.69,8.93,9.43,1.96,4.85,4.28,3.68,3.03
1907,10.31,10.88,9.77,2.31,5.92,5.32,4.60,3.32
1908,16.12,16.76,9.40,3.74,5.45,4.85,3.17,2.34
1909,9.61,9.67,5.05,1.19,0.33,0.43,0.47,0.51
1910,21.24,20.74,9.60,4.20,9.00,8.83,3.44,3.27
1911,3.37,9.44,2.98,7.04,1.13,0.83,0.56,0.80
1912,19.06,19.30,13.82,10.79,3.75,3.65,2.43,1.87
1913,18.45,18.54,9.45,2.78,10.93,7.28,4.70,4.50
1914,3.32,7.84,1.00,8.97,0.00,0.00,0.00,0.00
1915,7.28,8.06,5.26,3.20,0.00,0.00,0.00,0.00
1916,21.77,21.67,8.08,4.34,2.42,2.59,0.99,1.16
1917,12.38,12.49,5.88,5.14,1.54,1.29,0.47,0.46
1918,8.55,8.82,7.09,3.99,4.02,2.52,2.42,1.61
1919,6.71,7.97,6.30,3.01,2.71,1.30,1.56,0.45
1920,11.40,11.98,6.57,1.59,3.44,2.86,1.40,1.63
1921,14.27,14.60,12.14,6.48,6.87,4.86,4.44,2.85
1922,7.47,7.48,7.56,4.76,3.02,0.71,2.61,1.12
1923,9.76,11.05,6.18,4.77,0.65,0.69,0.60,0.39
1924,8.67,9.02,6.12,2.75,2.57,2.38,1.21,1.17
1925,5.63,6.51,3.96,1.93,1.75,0.11,1.24,0.17
1926,18.96,18.86,13.02,6.75,4.31,5.20,1.01,1.08
1927,21.57,21.66,19.48,16.09,5.53,5.05,1.62,1.55
1928,15.73,15.84,9.91,5.42,6.68,4.96,3.76,3.56
1929,9.40,9.54,8.86,2.72,7.80,5.63,6.14,5.17
1930,6.54,7.97,4.18,3.92,1.33,0.08,1.07,0.29
1931,7.13,7.48,8.99,5.33,5.23,2.41,3.50,1.67
1932,8.98,10.58,7.01,4.45,3.60,2.18,1.95,1.40
