S2,S2Avg.GAR.PD,S2Avg.GAR.FE,S2Avg.MIR.PD,S2Avg.MIR.FE,S2Avg.SAR.PD,S2Avg.SAR.FE,S2Avg.WHI.PD,S2Avg.WHI.FE
1889,20.79,20.99,22.65,15.44,29.44,28.27,13.29,13.17
1890,22.23,22.48,15.83,9.44,24.60,23.29,10.59,10.28
1891,8.95,9.16,8.64,5.50,0.99,0.23,1.20,0.99
1892,10.52,10.55,12.42,7.89,5.95,3.69,4.16,3.01
1893,23.59,23.76,16.46,10.84,21.92,21.79,8.62,9.88
1894,11.31,11.55,16.15,12.58,15.54,12.44,10.86,8.92
1895,15.50,15.57,19.81,14.67,33.15,31.01,18.40,17.64
1896,10.09,10.21,8.87,6.94,1.06,0.27,2.77,1.93
1897,18.20,18.41,22.57,15.96,30.36,27.90,16.29,15.28
1898,17.37,17.98,15.90,10.38,9.21,7.70,5.86,4.17
1899,8.65,8.88,5.83,4.22,0.93,0.20,2.00,1.33
1900,12.01,12.31,14.75,10.73,5.19,3.26,4.44,3.23
1901,5.71,3.92,1.70,2.54,0.00,1.58,0.69,2.11
1902,16.24,16.57,14.97,5.74,9.95,7.92,7.50,5.29
1903,10.86,11.02,12.61,7.91,4.80,2.83,3.48,2.93
1904,10.51,10.64,12.81,6.41,5.96,4.73,5.00,4.01
1905,16.64,16.99,19.65,10.52,30.75,27.96,15.71,15.39
1906,9.82,9.77,9.43,6.88,3.21,1.52,2.58,1.95
1907,18.49,18.76,15.42,10.87,19.06,16.38,10.80,9.44
1908,10.82,11.09,13.88,10.09,5.87,3.80,4.89,3.86
1909,20.14,20.33,24.43,18.82,33.99,32.62,17.03,16.45
1910,16.54,16.76,16.88,9.89,17.24,14.11,9.51,7.85
1911,9.15,9.71,8.02,4.95,2.48,0.93,1.74,1.47
1912,22.43,22.68,17.53,15.89,23.58,20.64,12.65,11.65
1913,14.81,15.43,15.36,10.71,12.21,9.49,7.15,5.30
1914,0.00,10.76,0.00,8.89,0.00,0.00,0.00,0.00
1915,8.66,8.78,6.01,3.55,0.00,0.00,0.15,0.00
1916,12.40,12.47,16.68,8.13,16.83,13.74,10.68,8.47
1917,15.63,15.75,18.49,13.02,23.13,19.12,12.41,10.74
1918,16.89,17.09,12.97,5.71,10.08,5.59,3.79,3.02
1919,17.49,17.65,10.87,3.28,5.81,4.14,2.60,1.96
1920,15.81,15.92,16.47,10.99,18.07,15.00,8.43,6.58
1921,10.86,11.18,13.38,11.31,2.28,1.00,3.11,2.27
1922,8.54,8.79,8.61,8.02,1.46,0.33,2.36,1.29
1923,11.72,11.82,15.26,6.74,9.07,5.61,5.34,3.64
1924,17.36,17.46,17.35,11.76,10.85,8.33,8.85,6.18
1925,8.69,8.95,5.37,3.38,0.99,0.00,2.83,1.36
1926,15.02,15.00,14.17,10.43,6.44,3.71,4.14,3.05
1927,20.96,21.42,18.12,10.93,11.66,13.21,6.16,5.06
1928,18.81,18.85,16.40,8.83,14.96,13.10,6.95,6.21
1929,10.59,10.64,13.06,9.36,8.61,7.06,6.98,5.27
1930,10.76,11.17,12.05,9.76,3.33,0.44,3.95,1.97
1931,10.98,10.97,11.70,10.54,3.35,1.28,3.47,2.61
1932,9.72,9.94,11.76,9.64,2.48,0.55,2.85,1.93
1933,12.75,12.92,17.40,11.52,9.35,7.25,6.01,4.22
1934,9.06,9.14,7.71,5.78,0.00,0.00,0.00,0.00
1935,18.20,18.50,18.56,10.22,20.31,18.54,11.40,10.68
1936,11.14,11.26,14.20,10.99,6.87,3.61,5.18,3.71
1937,9.59,9.69,9.15,6.84,5.93,2.31,4.10,1.86
1938,20.18,20.30,15.62,9.90,8.43,5.61,4.37,3.24
1939,15.21,15.23,15.97,12.43,21.21,18.35,11.90,10.12
1940,24.37,24.52,19.44,14.44,18.65,21.37,6.79,6.28
1941,11.67,11.73,15.41,8.69,8.87,5.89,5.88,4.35
1942,11.65,11.73,16.10,15.61,21.21,16.83,14.19,12.41
1943,17.26,17.31,18.87,12.63,10.59,6.47,6.23,4.78
1944,14.61,14.67,10.91,4.91,4.43,1.35,3.45,1.46
1945,16.37,16.59,19.07,10.89,20.26,17.87,9.77,8.58
1946,13.08,13.08,14.60,9.98,9.42,7.19,5.74,3.64
1947,8.19,8.22,7.60,3.02,1.54,0.00,1.98,0.75
1948,20.74,20.85,20.47,14.19,9.25,6.98,7.06,4.63
1949,25.32,25.55,23.45,16.84,21.19,17.10,8.16,8.38
1950,10.93,11.22,15.68,13.15,16.86,13.05,11.74,10.22
1951,9.92,9.84,11.56,6.71,4.37,2.25,3.71,2.76
1952,13.57,13.84,15.41,10.25,7.89,5.69,6.65,4.93
1953,23.19,23.37,21.12,12.90,26.55,23.90,13.60,13.07
1954,25.35,25.52,26.71,18.32,31.89,30.72,10.70,10.27
1955,24.42,25.08,19.19,10.53,6.68,6.55,2.33,2.22
1956,9.98,10.13,11.81,8.53,2.74,1.21,3.02,2.28
1957,19.50,19.78,19.90,13.89,26.60,22.23,9.95,9.23
1958,15.01,15.38,16.19,6.96,7.63,5.33,5.80,4.11
1959,12.72,12.99,16.87,12.17,19.61,16.21,12.27,10.36
1960,11.04,11.16,12.21,4.84,6.27,3.81,4.96,3.67
1961,14.25,14.48,15.32,10.08,6.81,4.59,4.63,3.53
1962,20.61,20.80,20.51,13.40,29.69,27.68,14.40,14.26
1963,11.72,11.82,11.79,6.26,4.13,1.28,3.10,2.06
1964,9.52,9.83,9.51,6.45,0.00,0.00,0.52,0.00
