S2,S2Avg.GAR.PD,S2Avg.GAR.FE,S2Avg.MIR.PD,S2Avg.MIR.FE,S2Avg.SAR.PD,S2Avg.SAR.FE,S2Avg.WHI.PD,S2Avg.WHI.FE
1965,8.43,8.79,6.92,4.93,1.54,0.84,2.22,1.92
1966,11.87,12.02,10.30,7.60,0.05,0.00,1.81,0.05
1967,13.98,14.25,15.80,11.80,7.99,5.84,5.18,3.90
1968,10.53,10.66,11.44,7.59,1.35,0.28,2.31,0.17
1969,13.30,13.53,15.04,9.61,5.15,2.42,4.40,2.60
1970,13.78,13.98,16.52,9.69,9.53,5.98,8.57,4.44
1971,11.60,11.59,17.25,8.66,14.38,11.22,9.95,8.29
1972,10.83,11.01,11.50,6.22,4.18,1.70,2.94,1.35
1973,23.04,23.31,23.11,19.52,28.81,26.73,15.02,13.98
1974,15.04,15.24,15.44,9.53,7.49,5.68,4.63,3.71
1975,19.03,19.29,27.33,24.59,27.02,24.92,10.41,9.11
1976,25.58,25.63,20.38,14.62,30.21,27.99,8.81,6.77
1977,10.03,10.17,13.20,8.95,6.53,4.17,2.78,1.69
1978,21.61,21.76,21.37,17.48,30.56,27.98,14.39,12.57
1979,15.27,15.39,14.85,6.53,6.55,5.31,3.08,1.83
1980,17.69,18.05,13.73,9.33,8.97,7.04,3.33,2.25
1981,9.78,9.99,10.51,7.37,2.54,0.30,2.08,1.42
1982,8.31,8.60,5.21,1.24,2.01,1.69,0.94,0.51
1983,8.72,8.95,6.33,2.83,0.68,0.00,0.72,0.22
1984,18.62,18.72,15.81,9.12,8.48,6.54,3.71,2.37
1985,11.29,11.41,10.36,5.32,2.49,0.65,1.75,1.13
1986,7.78,8.33,6.29,5.91,0.06,0.00,0.35,0.00
1987,12.25,12.65,14.70,9.53,5.02,2.13,2.89,1.77
1988,29.08,29.38,27.81,20.17,7.33,7.19,2.52,2.30
1989,20.33,20.72,8.05,3.10,11.88,10.72,3.37,2.86
1990,11.77,11.77,17.86,11.37,24.64,21.58,11.28,9.22
1991,4.04,9.13,1.10,5.03,0.14,0.13,0.07,0.07
1992,7.88,8.30,7.43,5.23,0.00,0.00,0.02,0.02
1993,11.28,11.55,14.01,8.45,1.84,0.74,2.26,1.75
1994,8.90,9.14,9.55,7.50,0.52,0.00,2.77,0.09
1995,8.44,8.48,9.07,3.94,2.10,0.38,1.89,0.85
1996,13.43,13.51,15.39,8.80,6.26,5.60,4.77,4.70
1997,10.60,10.78,10.84,6.72,0.87,0.07,1.26,0.92
1998,22.99,23.16,17.84,11.77,13.24,11.58,7.12,6.62
1999,27.62,27.87,17.78,14.31,11.74,10.67,4.58,3.96
2000,14.07,14.69,15.83,12.13,11.34,9.86,9.95,8.89
2001,7.61,8.12,5.52,3.41,1.47,0.87,1.74,0.44
2002,7.61,8.06,6.38,3.75,2.16,1.00,1.46,0.59
2003,8.48,8.70,5.38,2.76,0.31,0.15,0.96,0.00
2004,9.13,9.27,8.99,7.05,0.05,0.00,0.20,0.00
2005,11.92,12.17,10.91,4.10,0.81,0.55,0.29,0.09
2006,17.62,17.65,14.79,9.54,5.46,4.04,2.36,1.81
2007,12.42,12.57,15.79,12.83,8.78,6.93,7.97,6.17
2008,14.82,14.88,16.50,10.12,13.59,11.11,6.88,5.45
2009,21.26,21.22,26.08,17.19,21.64,18.97,10.84,8.72
2010,20.28,20.49,26.16,21.00,23.00,20.53,10.88,10.58
2011,16.50,16.81,19.07,16.70,19.68,17.81,7.96,7.49
2012,23.63,24.24,23.19,20.36,24.61,22.32,11.66,9.94
2013,16.81,17.22,13.71,6.67,10.60,9.15,6.44,5.76
2014,8.23,8.43,9.02,6.04,1.94,0.88,0.91,0.24
2015,9.68,9.86,10.61,4.03,2.53,1.55,0.95,0.56
2016,15.82,16.22,13.89,7.07,11.61,8.92,9.35,6.69
2017,14.40,14.51,13.67,9.74,4.41,2.35,2.26,1.68
2018,16.67,17.17,16.15,13.70,11.04,9.34,9.70,7.35
