S3,Scen,S3Avg.GAR,S3Avg.MIR,S3Avg.SAR,S3Avg.WHI
1889,PD,9.74,8.84,2.93,2.78
1890,PD,9.8,12.05,7.81,6.89
1891,PD,12.15,16.84,17.97,11.42
1892,PD,7.53,3.53,0,0
1893,PD,9.61,9.23,3.39,3.19
1894,PD,15.92,17.17,21.26,12.44
1895,PD,7.2,4.24,1.17,2.31
1896,PD,8.12,7.43,5.02,4.82
1897,PD,5.01,1.44,0,0.08
1898,PD,9,9.43,6.09,5.17
1899,PD,8.7,8.06,1.67,2.02
1900,PD,6.91,3.1,0,0
1901,PD,7.57,3.52,0.14,0.88
1902,PD,0.24,0,0,0
1903,PD,9.51,7.8,2.22,2.69
1904,PD,6.56,2.31,0.08,1.09
1905,PD,6.49,2.5,0.26,1.08
1906,PD,9.82,12.83,7.19,6.06
1907,PD,9.36,7.67,1.65,2.73
1908,PD,8.96,8.78,4.93,3.85
1909,PD,6.56,2.13,0.08,0.76
1910,PD,9.27,10.37,6.59,5.82
1911,PD,8.72,7.53,3.46,3.75
1912,PD,14.78,14.31,5.51,4.42
1913,PD,11.48,13.92,7.1,5.57
1914,PD,11.38,13.71,5.41,4.55
1915,PD,0,0,0,0
1916,PD,8.51,7.11,1.08,1.54
1917,PD,10.27,11.82,6.1,4.86
1918,PD,8.82,8.04,4.12,3.88
1919,PD,11.11,11.24,4.3,4.31
1920,PD,13.19,11.77,3.75,3.39
1921,PD,13.97,10.81,6.33,5.23
1922,PD,8.88,7.65,2.06,1.79
1923,PD,7.82,4.03,0.56,2.02
1924,PD,11.36,13.82,3.41,3.12
1925,PD,10.21,11.08,1.6,2.22
1926,PD,5.94,2.61,0,0.64
1927,PD,9.84,7.99,0.57,1.36
1928,PD,9.32,10.68,4.34,4.01
1929,PD,9.64,9.96,4.28,3.96
1930,PD,14.12,15.75,7.85,6.94
1931,PD,8.05,4.49,0,1.09
1932,PD,8.83,5.9,0.02,1.06
1933,PD,10.59,10.47,5.18,3.89
1934,PD,10.64,13.19,0.34,0.7
1935,PD,6.75,2.04,0,0
1936,PD,15.46,15.9,9.4,7.94
1937,PD,9.56,9.52,0.65,2.09
1938,PD,9.93,9.26,2.58,3.1
1939,PD,10.2,10.84,1.75,2.86
1940,PD,9.54,12.24,8.92,7.11
1941,PD,12.66,15.66,9.85,6.81
1942,PD,19.32,15.5,7.56,5.37
1943,PD,9.64,12.46,8,8.18
1944,PD,10.06,12.16,1.56,2.33
1945,PD,11.04,11.71,0.56,1.76
1946,PD,7.96,5.24,1.62,3.1
1947,PD,9.43,8.66,2.02,2.79
1948,PD,8.58,5.93,0,0.54
1949,PD,9.14,7.64,1.21,2.53
1950,PD,27.41,26.62,24.48,11.05
1951,PD,6.56,5.31,2.47,2.34
1952,PD,9.13,7.27,1.64,2.64
1953,PD,7.51,3.34,0.34,1.61
1954,PD,9.79,11.8,7.05,5.73
1955,PD,12.18,16.46,12.78,9.89
1956,PD,11.1,15.41,14.87,9.38
1957,PD,8.65,6.65,1.02,1.58
1958,PD,10.89,14.01,8.47,7.58
1959,PD,9.27,6.88,0.43,2.09
1960,PD,7.44,5,1.78,2.78
1961,PD,8.89,5.88,0.3,1.72
1962,PD,7.78,4.1,0.36,1.72
1963,PD,10.49,13.49,9.27,7.41
1964,PD,9.77,9.07,2.13,2.61
1965,PD,7.14,2.51,0,0.02
1966,PD,6.14,3.12,0,0.07
1967,PD,13.79,13.18,1.37,2.86
1968,PD,8.45,7.27,1.96,3.08
1969,PD,9.59,8.05,0.22,1.9
1970,PD,8.86,5.19,0.24,2.22
1971,PD,8.83,8.65,1.91,2.76
1972,PD,10,8.9,2.03,3.39
1973,PD,10.27,8.92,0.23,2.52
1974,PD,10.54,14.02,9.15,4.82
1975,PD,10.15,11.79,2.26,1.71
1976,PD,9.65,11.89,10.24,4.92
