S3,Scen,S3Avg.GAR,S3Avg.MIR,S3Avg.SAR,S3Avg.WHI
1977,PD,10.4,15.22,10.4,6.1
1978,PD,8.56,10.17,1.56,0.11
1979,PD,9.43,11.71,8.02,4.01
1980,PD,10.08,11.87,1.9,1.21
1981,PD,9.48,11.74,3.8,2.68
1982,PD,7.6,3.37,0,0
1983,PD,10.21,10.49,0.71,0.11
1984,PD,7.5,5.31,0.28,0.02
1985,PD,10.42,12.72,3.48,2.72
1986,PD,9.8,9.21,0,1.16
1987,PD,9.98,9.55,0.52,0.79
1988,PD,11.34,12.18,6.12,4.02
1989,PD,12.47,17.76,24.36,9.41
1990,PD,11.04,15.84,16.05,10.48
1991,PD,8.19,8.71,5.44,3.75
1992,PD,1.9,0.78,0,0
1993,PD,8.74,5.22,0.03,0.23
1994,PD,8.28,5.76,0.06,0.85
1995,PD,8.21,5.12,0.01,0.61
1996,PD,7.47,5.35,0.24,1.47
1997,PD,9.9,10.86,0.99,1.96
1998,PD,14.43,11.41,1.53,2.51
1999,PD,10.22,12.18,4.18,2.76
2000,PD,11.67,15.24,12.95,9.42
2001,PD,8.88,8.35,2.87,3.15
2002,PD,8.82,5.83,1.54,1.08
2003,PD,7.43,3.58,0.18,0
2004,PD,4.07,1.2,0,0.05
2005,PD,9.2,8.73,0,0
2006,PD,9.99,10.38,0.37,0.63
2007,PD,12.52,14.05,4.8,2.62
2008,PD,8.75,9.79,3.03,2.77
2009,PD,8.97,10.53,3.73,2.27
2010,PD,10.1,13.03,9.23,5.49
2011,PD,10.98,14.79,9.64,7.77
2012,PD,14.85,17.5,13.7,9.42
2013,PD,11.13,12.76,5.83,4.86
2014,PD,10.23,10.98,1.91,2.51
2015,PD,9.87,9.33,0.48,1.09
2016,PD,10.69,10.94,3.6,2.26
2017,PD,9.99,13.7,6.28,4.09
2018,PD,8.96,5.79,0.49,2.06
1889,FE,7.98,4.65,1.24,1.89
1890,FE,8.26,8.18,6.53,5.42
1891,FE,10.66,13.31,13.33,9.83
1892,FE,6.56,4.56,0,0
1893,FE,6.31,4.22,2.35,2.59
1894,FE,13.11,11.25,18.72,11.31
1895,FE,5.74,4.07,0.49,2.07
1896,FE,6.55,5.92,3.74,4.25
1897,FE,7.78,6.5,0,0
1898,FE,6.54,4.97,4.92,4.68
1899,FE,5.84,3.76,0.49,1.38
1900,FE,6.91,6.22,0,0
1901,FE,4.24,2.43,0,0.37
1902,FE,0,2.02,0.57,0.59
1903,FE,5.87,3.47,0.94,2.66
1904,FE,6.66,5.74,0,0.73
1905,FE,5.91,3.67,0,0.94
1906,FE,7.48,8.05,5.66,4.79
1907,FE,7.63,5.52,0.57,2.3
1908,FE,5.63,3.31,3.47,3.24
1909,FE,5.92,4.07,0,0.5
1910,FE,7.22,5.14,5.41,4.93
1911,FE,5.95,4.06,2.15,3.44
1912,FE,12.39,9.21,2.95,3.32
1913,FE,10.16,10.3,5.43,4.64
1914,FE,10.19,10.62,3.27,3.56
1915,FE,11.14,9.44,0,0
1916,FE,5.47,4.95,0.52,1.25
1917,FE,7.36,5.58,4.44,3.82
1918,FE,5.97,6.11,2.75,3.31
1919,FE,9.38,6.86,1.68,2.62
1920,FE,9.81,8.2,1.53,2.14
1921,FE,11.55,5.01,4.42,3.89
1922,FE,8.39,2.91,1.27,1.63
1923,FE,7.03,6.05,0,1.36
1924,FE,9.72,8.83,1.5,2.3
1925,FE,7.2,5.26,0.65,1.54
1926,FE,8.25,8.61,0,0
1927,FE,8.31,4.01,0,0.46
1928,FE,6.74,6.51,2.24,3.12
1929,FE,6.73,5.79,2.65,3.28
1930,FE,12.23,10.17,5.39,5.4
1931,FE,8.38,6.43,0,0.13
1932,FE,6.98,2.96,0,0.59
1933,FE,8.77,1.7,2.68,2.59
1934,FE,9.65,8.15,0.08,0.34
1935,FE,5.65,2.71,0,0
1936,FE,11.61,12.61,7.33,6.01
1937,FE,6.89,6.45,0,1.29
1938,FE,8.14,3.45,1.02,2.44
1939,FE,8.71,4.28,0.38,1.8
1940,FE,7.53,8.48,7.61,6.06
1941,FE,10.65,12.2,7.51,5.13
1942,FE,17.55,12.09,5.44,3.7
1943,FE,8.19,3.99,7.41,7.67
1944,FE,8.85,7.02,0.45,1.46
1945,FE,10.12,6.54,0,0.36
1946,FE,7.42,7.55,0.76,2.96
1947,FE,8.33,6.25,0.69,2.15
1948,FE,7.28,6.72,0,0.2
1949,FE,7.28,3.31,0.17,2.08
1950,FE,25.8,25.53,20.32,10.65
1951,FE,5.8,5.67,1.4,2
1952,FE,7.51,5.9,0.57,2.36
1953,FE,3.93,2.02,0,1.24
1954,FE,7.79,7.35,5.69,4.7
1955,FE,10.64,13.06,9.83,8.27
1956,FE,9.68,13.54,12.77,8.33
1957,FE,6.37,3.63,0.59,1.21
1958,FE,9.37,9.85,6.6,6.01
1959,FE,6.64,4.08,0,1
1960,FE,6.81,6.45,0.93,2.55
1961,FE,7.43,6.03,0,0.89
1962,FE,6.16,4.01,0,0.98
1963,FE,8.06,9.21,7.56,6.23
1964,FE,8.18,3.27,0.68,2.08
1965,FE,5.5,2.79,0,0
1966,FE,3.38,2.68,0,0
1967,FE,11.06,8.95,0.22,0.58
1968,FE,6.18,6.07,0.72,2.4
1969,FE,8.04,4.18,0,0.52
1970,FE,6.38,4.07,0,1.25
1971,FE,5.78,4.03,0.36,1.47
1972,FE,8.45,6.46,0.74,2.77
1973,FE,8.51,5.47,0,1.11
1974,FE,8.26,9.73,8.23,4.01
1975,FE,8.21,5.08,0.94,1.38
1976,FE,8.48,8.29,9.05,3.95
1977,FE,8.97,10.06,7.68,4.63
1978,FE,4.12,3.06,1.27,0.11
1979,FE,7.51,7.32,6.63,3.72
1980,FE,8.15,5.12,1.32,0.79
1981,FE,6.23,7.39,1.9,1.95
1982,FE,4.78,3.54,0,0
1983,FE,8.17,3.59,0.66,0
1984,FE,5.18,2.19,0.09,0.05
1985,FE,8.95,7.93,1.58,1.62
1986,FE,7.27,2.93,0,0.39
1987,FE,8.56,4.31,0,0.38
1988,FE,9.63,5.04,3.65,2.73
1989,FE,11.48,14.91,22.76,8.17
1990,FE,9.61,12.65,12.62,9.55
1991,FE,5.84,5.94,4.66,3.27
1992,FE,10.88,9.64,0,0
1993,FE,4.6,3.43,0.03,0.23
1994,FE,2.49,2.02,0,0.72
1995,FE,3.2,2.02,0.01,0.05
1996,FE,2.51,2.02,0,0.08
1997,FE,8.14,4.39,0.39,2.28
1998,FE,12.08,4.98,1.24,1.77
1999,FE,8.75,6.71,3,1.96
2000,FE,9.94,11.42,9.66,7.42
2001,FE,6.99,3.13,1.7,2.78
2002,FE,5.26,3.95,0.27,0.23
2003,FE,5.63,2.88,0.1,0
2004,FE,5.22,4.65,0,0
2005,FE,6.32,4.81,0,0
2006,FE,8.26,3.25,0.16,0.24
2007,FE,10.27,10.29,3.11,1.93
2008,FE,6.75,4.81,1.8,2.53
2009,FE,5.43,3.15,2.38,1.85
2010,FE,7.51,9.46,7.2,4.51
2011,FE,9.51,11.84,8.89,7.36
2012,FE,13.71,14.26,11.13,8.31
2013,FE,9.25,9.13,4.55,3.88
2014,FE,7.9,3.59,0.58,1.95
2015,FE,8.81,5.04,0.01,0.48
2016,FE,8.95,6.3,1.82,1.53
2017,FE,7.94,5.57,2.06,1.88
2018,FE,5.83,2,0,1.21
