S4,S4Avg.GAR.PD,S4Avg.GAR.FE,S4Avg.MIR.PD,S4Avg.MIR.FE,S4Avg.SAR.PD,S4Avg.SAR.FE,S4Avg.WHI.PD,S4Avg.WHI.FE
1977,4.66,8.56,2.90,5.99,1.34,0.69,1.27,0.84
1978,7.53,8.47,2.79,6.89,0.33,0.12,0.32,0.00
1979,6.06,10.26,3.38,9.83,1.53,0.85,1.73,1.59
1980,5.49,9.27,1.56,7.29,0.20,0.20,0.00,0.00
1981,4.49,7.10,2.73,6.14,1.08,0.88,0.05,0.00
1982,1.23,11.44,1.04,11.89,0.00,0.78,0.00,1.73
1983,5.52,8.52,2.93,9.14,0.62,0.22,0.13,0.00
1984,7.19,8.65,2.00,8.56,0.07,0.01,0.00,0.00
1985,7.78,8.27,6.02,2.56,2.66,1.59,0.90,0.65
1986,6.12,10.42,1.98,11.56,0.00,0.00,0.47,0.00
1987,7.58,8.19,2.87,2.76,0.00,0.00,0.00,0.00
1988,8.23,8.77,8.67,5.31,3.01,1.21,1.02,0.43
1989,8.04,9.35,6.14,5.40,3.54,1.55,2.34,1.69
1990,2.96,9.61,1.81,8.48,0.76,0.41,1.67,1.28
1991,1.36,9.60,0.85,7.20,0.17,0.57,0.67,1.10
1992,0.00,9.38,0.00,11.54,0.00,1.11,0.00,2.07
1993,6.47,6.48,2.78,2.63,0.27,0.02,0.05,0.05
1994,0.41,7.59,0.00,4.47,0.00,0.00,0.00,0.00
1995,6.36,6.52,2.58,2.11,0.00,0.00,0.00,0.00
1996,2.20,4.85,0.82,3.33,0.00,0.00,0.15,0.15
1997,5.25,9.98,3.25,8.45,0.07,0.00,0.15,0.34
1998,28.14,28.71,15.14,6.60,5.83,4.72,2.61,1.64
1999,8.21,8.62,7.03,3.03,1.17,0.40,0.37,0.23
2000,5.09,6.21,4.24,2.92,3.63,2.11,2.09,1.63
2001,4.22,9.06,2.16,10.91,1.23,0.58,0.49,0.48
2002,2.31,11.39,1.18,11.95,0.34,0.10,0.27,0.23
2003,3.73,10.43,1.72,11.83,0.61,0.10,0.63,0.23
2004,1.44,1.04,0.99,2.41,0.36,0.36,0.00,0.00
2005,5.63,6.16,1.84,3.32,0.00,0.00,0.08,0.00
2006,7.84,7.98,3.28,2.13,0.00,0.00,0.00,0.00
2007,6.95,7.94,4.67,5.28,0.66,0.18,0.20,0.07
2008,6.37,10.40,3.72,10.37,0.53,0.20,0.38,0.51
2009,7.51,9.11,4.82,11.86,0.14,0.14,0.00,0.00
2010,12.97,13.69,7.56,2.64,5.16,4.08,2.59,1.64
2011,8.02,8.48,8.10,7.90,2.74,1.08,3.12,3.11
2012,7.37,9.12,8.05,7.86,3.35,1.57,2.90,2.18
2013,7.01,9.09,2.24,8.89,0.00,0.00,0.02,0.13
2014,6.29,9.10,2.78,8.58,0.61,0.21,0.45,0.09
2015,6.18,9.43,2.72,9.88,1.35,0.43,0.60,0.08
2016,8.03,8.74,7.49,5.18,0.71,0.00,0.87,0.21
2017,6.83,7.59,5.60,3.20,3.44,0.51,1.62,0.96
2018,4.54,8.31,2.94,2.82,1.68,0.69,1.85,1.77
