S2,Scen,S2Avg.GAR,S2Avg.MIR,S2Avg.SAR,S2Avg.WHI
1962,PD,20.61,20.51,29.69,14.4
1963,PD,11.72,11.79,4.13,3.1
1964,PD,9.52,9.51,0,0.52
1965,PD,8.43,6.92,1.54,2.22
1966,PD,11.87,10.3,0.05,1.81
1967,PD,13.98,15.8,7.99,5.18
1968,PD,10.53,11.44,1.35,2.31
1969,PD,13.3,15.04,5.15,4.4
1970,PD,13.78,16.52,9.53,8.57
1971,PD,11.6,17.25,14.38,9.95
1972,PD,10.83,11.5,4.18,2.94
1973,PD,23.04,23.11,28.81,15.02
1974,PD,15.04,15.44,7.49,4.63
1975,PD,19.03,27.33,27.02,10.41
1976,PD,25.58,20.38,30.21,8.81
1977,PD,10.03,13.2,6.53,2.78
1978,PD,21.61,21.37,30.56,14.39
1979,PD,15.27,14.85,6.55,3.08
1980,PD,17.69,13.73,8.97,3.33
1981,PD,9.78,10.51,2.54,2.08
1982,PD,8.31,5.21,2.01,0.94
1983,PD,8.72,6.33,0.68,0.72
1984,PD,18.62,15.81,8.48,3.71
1985,PD,11.29,10.36,2.49,1.75
1986,PD,7.78,6.29,0.06,0.35
1987,PD,12.25,14.7,5.02,2.89
1988,PD,29.08,27.81,7.33,2.52
1989,PD,20.33,8.05,11.88,3.37
1990,PD,11.77,17.86,24.64,11.28
1991,PD,4.04,1.1,0.14,0.07
1992,PD,7.88,7.43,0,0.02
1993,PD,11.28,14.01,1.84,2.26
1994,PD,8.9,9.55,0.52,2.77
1995,PD,8.44,9.07,2.1,1.89
1996,PD,13.43,15.39,6.26,4.77
1997,PD,10.6,10.84,0.87,1.26
1998,PD,22.99,17.84,13.24,7.12
1999,PD,27.62,17.78,11.74,4.58
2000,PD,14.07,15.83,11.34,9.95
2001,PD,7.61,5.52,1.47,1.74
2002,PD,7.61,6.38,2.16,1.46
2003,PD,8.48,5.38,0.31,0.96
2004,PD,9.13,8.99,0.05,0.2
2005,PD,11.92,10.91,0.81,0.29
2006,PD,17.62,14.79,5.46,2.36
2007,PD,12.42,15.79,8.78,7.97
2008,PD,14.82,16.5,13.59,6.88
2009,PD,21.26,26.08,21.64,10.84
2010,PD,20.28,26.16,23,10.88
2011,PD,16.5,19.07,19.68,7.96
2012,PD,23.63,23.19,24.61,11.66
2013,PD,16.81,13.71,10.6,6.44
2014,PD,8.23,9.02,1.94,0.91
2015,PD,9.68,10.61,2.53,0.95
2016,PD,15.82,13.89,11.61,9.35
2017,PD,14.4,13.67,4.41,2.26
2018,PD,16.67,16.15,11.04,9.7
1889,FE,20.99,15.44,28.27,13.17
1890,FE,22.48,9.44,23.29,10.28
1891,FE,9.16,5.5,0.23,0.99
1892,FE,10.55,7.89,3.69,3.01
1893,FE,23.76,10.84,21.79,9.88
1894,FE,11.55,12.58,12.44,8.92
1895,FE,15.57,14.67,31.01,17.64
1896,FE,10.21,6.94,0.27,1.93
1897,FE,18.41,15.96,27.9,15.28
1898,FE,17.98,10.38,7.7,4.17
1899,FE,8.88,4.22,0.2,1.33
1900,FE,12.31,10.73,3.26,3.23
1901,FE,3.92,2.54,1.58,2.11
1902,FE,16.57,5.74,7.92,5.29
1903,FE,11.02,7.91,2.83,2.93
1904,FE,10.64,6.41,4.73,4.01
1905,FE,16.99,10.52,27.96,15.39
1906,FE,9.77,6.88,1.52,1.95
1907,FE,18.76,10.87,16.38,9.44
1908,FE,11.09,10.09,3.8,3.86
1909,FE,20.33,18.82,32.62,16.45
1910,FE,16.76,9.89,14.11,7.85
1911,FE,9.71,4.95,0.93,1.47
1912,FE,22.68,15.89,20.64,11.65
1913,FE,15.43,10.71,9.49,5.3
1914,FE,10.76,8.89,0,0
1915,FE,8.78,3.55,0,0
1916,FE,12.47,8.13,13.74,8.47
1917,FE,15.75,13.02,19.12,10.74
1918,FE,17.09,5.71,5.59,3.02
1919,FE,17.65,3.28,4.14,1.96
1920,FE,15.92,10.99,15,6.58
1921,FE,11.18,11.31,1,2.27
1922,FE,8.79,8.02,0.33,1.29
1923,FE,11.82,6.74,5.61,3.64
1924,FE,17.46,11.76,8.33,6.18
1925,FE,8.95,3.38,0,1.36
1926,FE,15,10.43,3.71,3.05
1927,FE,21.42,10.93,13.21,5.06
1928,FE,18.85,8.83,13.1,6.21
1929,FE,10.64,9.36,7.06,5.27
1930,FE,11.17,9.76,0.44,1.97
1931,FE,10.97,10.54,1.28,2.61
1932,FE,9.94,9.64,0.55,1.93
1933,FE,12.92,11.52,7.25,4.22
1934,FE,9.14,5.78,0,0
1935,FE,18.5,10.22,18.54,10.68
1936,FE,11.26,10.99,3.61,3.71
1937,FE,9.69,6.84,2.31,1.86
1938,FE,20.3,9.9,5.61,3.24
1939,FE,15.23,12.43,18.35,10.12
1940,FE,24.52,14.44,21.37,6.28
1941,FE,11.73,8.69,5.89,4.35
1942,FE,11.73,15.61,16.83,12.41
1943,FE,17.31,12.63,6.47,4.78
1944,FE,14.67,4.91,1.35,1.46
1945,FE,16.59,10.89,17.87,8.58
1946,FE,13.08,9.98,7.19,3.64
1947,FE,8.22,3.02,0,0.75
1948,FE,20.85,14.19,6.98,4.63
1949,FE,25.55,16.84,17.1,8.38
1950,FE,11.22,13.15,13.05,10.22
1951,FE,9.84,6.71,2.25,2.76
1952,FE,13.84,10.25,5.69,4.93
1953,FE,23.37,12.9,23.9,13.07
1954,FE,25.52,18.32,30.72,10.27
1955,FE,25.08,10.53,6.55,2.22
1956,FE,10.13,8.53,1.21,2.28
1957,FE,19.78,13.89,22.23,9.23
1958,FE,15.38,6.96,5.33,4.11
1959,FE,12.99,12.17,16.21,10.36
1960,FE,11.16,4.84,3.81,3.67
1961,FE,14.48,10.08,4.59,3.53
1962,FE,20.8,13.4,27.68,14.26
1963,FE,11.82,6.26,1.28,2.06
1964,FE,9.83,6.45,0,0
1965,FE,8.79,4.93,0.84,1.92
1966,FE,12.02,7.6,0,0.05
1967,FE,14.25,11.8,5.84,3.9
1968,FE,10.66,7.59,0.28,0.17
1969,FE,13.53,9.61,2.42,2.6
1970,FE,13.98,9.69,5.98,4.44
1971,FE,11.59,8.66,11.22,8.29
1972,FE,11.01,6.22,1.7,1.35
1973,FE,23.31,19.52,26.73,13.98
1974,FE,15.24,9.53,5.68,3.71
1975,FE,19.29,24.59,24.92,9.11
1976,FE,25.63,14.62,27.99,6.77
1977,FE,10.17,8.95,4.17,1.69
1978,FE,21.76,17.48,27.98,12.57
1979,FE,15.39,6.53,5.31,1.83
1980,FE,18.05,9.33,7.04,2.25
1981,FE,9.99,7.37,0.3,1.42
1982,FE,8.6,1.24,1.69,0.51
1983,FE,8.95,2.83,0,0.22
1984,FE,18.72,9.12,6.54,2.37
1985,FE,11.41,5.32,0.65,1.13
1986,FE,8.33,5.91,0,0
1987,FE,12.65,9.53,2.13,1.77
1988,FE,29.38,20.17,7.19,2.3
1989,FE,20.72,3.1,10.72,2.86
1990,FE,11.77,11.37,21.58,9.22
1991,FE,9.13,5.03,0.13,0.07
1992,FE,8.3,5.23,0,0.02
1993,FE,11.55,8.45,0.74,1.75
1994,FE,9.14,7.5,0,0.09
1995,FE,8.48,3.94,0.38,0.85
1996,FE,13.51,8.8,5.6,4.7
1997,FE,10.78,6.72,0.07,0.92
1998,FE,23.16,11.77,11.58,6.62
1999,FE,27.87,14.31,10.67,3.96
2000,FE,14.69,12.13,9.86,8.89
2001,FE,8.12,3.41,0.87,0.44
2002,FE,8.06,3.75,1,0.59
2003,FE,8.7,2.76,0.15,0
2004,FE,9.27,7.05,0,0
2005,FE,12.17,4.1,0.55,0.09
2006,FE,17.65,9.54,4.04,1.81
2007,FE,12.57,12.83,6.93,6.17
2008,FE,14.88,10.12,11.11,5.45
2009,FE,21.22,17.19,18.97,8.72
2010,FE,20.49,21,20.53,10.58
2011,FE,16.81,16.7,17.81,7.49
2012,FE,24.24,20.36,22.32,9.94
2013,FE,17.22,6.67,9.15,5.76
2014,FE,8.43,6.04,0.88,0.24
2015,FE,9.86,4.03,1.55,0.56
2016,FE,16.22,7.07,8.92,6.69
2017,FE,14.51,9.74,2.35,1.68
2018,FE,17.17,13.7,9.34,7.35
