S2,Scen,S2Avg.GAR,S2Avg.MIR,S2Avg.SAR,S2Avg.WHI
1889,PD,20.79,22.65,29.44,13.29
1890,PD,22.23,15.83,24.6,10.59
1891,PD,8.95,8.64,0.99,1.2
1892,PD,10.52,12.42,5.95,4.16
1893,PD,23.59,16.46,21.92,8.62
1894,PD,11.31,16.15,15.54,10.86
1895,PD,15.5,19.81,33.15,18.4
1896,PD,10.09,8.87,1.06,2.77
1897,PD,18.2,22.57,30.36,16.29
1898,PD,17.37,15.9,9.21,5.86
1899,PD,8.65,5.83,0.93,2
1900,PD,12.01,14.75,5.19,4.44
1901,PD,5.71,1.7,0,0.69
1902,PD,16.24,14.97,9.95,7.5
1903,PD,10.86,12.61,4.8,3.48
1904,PD,10.51,12.81,5.96,5
1905,PD,16.64,19.65,30.75,15.71
1906,PD,9.82,9.43,3.21,2.58
1907,PD,18.49,15.42,19.06,10.8
1908,PD,10.82,13.88,5.87,4.89
1909,PD,20.14,24.43,33.99,17.03
1910,PD,16.54,16.88,17.24,9.51
1911,PD,9.15,8.02,2.48,1.74
1912,PD,22.43,17.53,23.58,12.65
1913,PD,14.81,15.36,12.21,7.15
1914,PD,0,0,0,0
1915,PD,8.66,6.01,0,0.15
1916,PD,12.4,16.68,16.83,10.68
1917,PD,15.63,18.49,23.13,12.41
1918,PD,16.89,12.97,10.08,3.79
1919,PD,17.49,10.87,5.81,2.6
1920,PD,15.81,16.47,18.07,8.43
1921,PD,10.86,13.38,2.28,3.11
1922,PD,8.54,8.61,1.46,2.36
1923,PD,11.72,15.26,9.07,5.34
1924,PD,17.36,17.35,10.85,8.85
1925,PD,8.69,5.37,0.99,2.83
1926,PD,15.02,14.17,6.44,4.14
1927,PD,20.96,18.12,11.66,6.16
1928,PD,18.81,16.4,14.96,6.95
1929,PD,10.59,13.06,8.61,6.98
1930,PD,10.76,12.05,3.33,3.95
1931,PD,10.98,11.7,3.35,3.47
1932,PD,9.72,11.76,2.48,2.85
1933,PD,12.75,17.4,9.35,6.01
1934,PD,9.06,7.71,0,0
1935,PD,18.2,18.56,20.31,11.4
1936,PD,11.14,14.2,6.87,5.18
1937,PD,9.59,9.15,5.93,4.1
1938,PD,20.18,15.62,8.43,4.37
1939,PD,15.21,15.97,21.21,11.9
1940,PD,24.37,19.44,18.65,6.79
1941,PD,11.67,15.41,8.87,5.88
1942,PD,11.65,16.1,21.21,14.19
1943,PD,17.26,18.87,10.59,6.23
1944,PD,14.61,10.91,4.43,3.45
1945,PD,16.37,19.07,20.26,9.77
1946,PD,13.08,14.6,9.42,5.74
1947,PD,8.19,7.6,1.54,1.98
1948,PD,20.74,20.47,9.25,7.06
1949,PD,25.32,23.45,21.19,8.16
1950,PD,10.93,15.68,16.86,11.74
1951,PD,9.92,11.56,4.37,3.71
1952,PD,13.57,15.41,7.89,6.65
1953,PD,23.19,21.12,26.55,13.6
1954,PD,25.35,26.71,31.89,10.7
1955,PD,24.42,19.19,6.68,2.33
1956,PD,9.98,11.81,2.74,3.02
1957,PD,19.5,19.9,26.6,9.95
1958,PD,15.01,16.19,7.63,5.8
1959,PD,12.72,16.87,19.61,12.27
1960,PD,11.04,12.21,6.27,4.96
1961,PD,14.25,15.32,6.81,4.63
